SYMBOL|SERIES|OPEN|HIGH|LOW|CLOSE|LAST|PREVCLOSE|TOTTRDQTY|TOTTRDVAL|TOTALTRADES
20MICRONS|EQ|81.60|83|76.75|76.75|76.75|85.25|333625|26549244.15|4304
21STCENMGM|EQ|36.70|36.7|36.7|36.7|36.7|37.4|706|25910.2|26
3IINFOLTD|EQ|63.30|64.4|63.3|63.3|63.3|66.6|1313447|83238054.15|4420
3MINDIA|EQ|23055.00|23055|22457|22585.8|22500|23061.8|1830|41395188.5|1002
3PLAND|BE|17.05|17.55|17.05|17.25|17.4|17.9|3278|56014.8|73
515GS2025|GS|96.55|96.55|96|96|96|99|99|9557.9|2
5PAISA|EQ|377.00|377|361.05|365.2|364.05|377.25|17012|6273024.45|812
63MOONS|BE|254.90|264|254.9|254.9|254.9|268.3|91422|23403391.1|1071
664GS2035|GS|94.00|94|94|94|94|94|500|47000|4
667GS2035|GS|94.80|95.61|94.8|95.61|95.61|97|4999|476948.73|13
667GS2050|GS|93.88|93.88|93.88|93.88|93.88|93.87|112|10514.56|1
676GS2061|GS|99.50|99.5|99.5|99.5|99.5|95.64|3400|338300|2
699GS2051|GS|98.00|98|97|97.9|97.9|97|5512|534680.8|5
716GS2050|GS|102.99|102.99|102.5|102.5|102.5|102.99|82|8416.14|5
717GS2028|GS|102.00|102|101|101|101|103|100|10199|2
763GS2059|GS|108.50|108.5|108.5|108.5|108.5|108.5|84|9114|1
772GS2055|GS|109.28|109.28|109|109.03|109|109.27|575|62719.4|8
824GS2033|GS|111.90|111.9|111.9|111.9|111.9|111.9|100|11190|1
A2ZINFRA|EQ|9.90|10.15|9.8|9.8|9.8|10.3|571396|5633251.2|903
AAATECH|SM|69.00|69|68|68|68|71|9000|618000|3
AAKASH|BE|28.55|29.9|28.4|28.75|29|29.85|241526|6929594.35|484
AAREYDRUGS|EQ|49.00|50.65|45|45.9|46.2|49.25|109371|5126806.2|1525
AARON|EQ|126.85|126.85|120.55|120.55|120.55|126.85|11544|1407437.45|216
